label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
bulk_yen__init2000000__yen10000000,bulk_yen,2000000.0,10000000.0,,3032,17984013.15003936,16609075.56083388,1374937.5892054792,117984013.15003936,0.013840115743161352,0.45096652383916574,7916794.1424794495,1625761.7134383563,1733797.4517260937,4234339.838342728,212,2,2,2,8304537.78041694,8304537.78041694,1.0,inf,1514,1513,574,0.18931398416886544,142,0,0,18452200.0,7454250.728891821,0.28104044434844244
bulk_yen__init5000000__yen100000,bulk_yen,5000000.0,100000.0,,3032,4979578.625596754,4945648.015131,33930.610465753416,104979578.62559675,0.004047120499991674,0.40682137508148775,2005608.331767127,1908253.841547945,314326.9172054765,1260850.090071987,1392,46,46,46,107514.08728545652,92001.12407366544,0.7676258992805756,4.877658115012701,245,244,1244,0.4102902374670185,220,0,0,6454120.0,1351410.2523087072,-1.457510646924031
bulk_yen__init5000000__yen300000,bulk_yen,5000000.0,300000.0,,3032,7212500.007078323,7178569.396612569,33930.610465753416,107212500.00707832,0.005805026464900553,0.4914259875246816,2704005.8181780875,2418116.8564657527,494570.8738082036,1830114.040185535,1051,24,24,24,299107.05819219036,273186.58807291964,0.7931363203050524,8.592355999133748,435,434,1161,0.3829155672823219,244,0,0,7199920.0,2126347.165237467,-0.7982933598692687
bulk_yen__init5000000__yen500000,bulk_yen,5000000.0,500000.0,,3032,8143027.473988688,8109096.863522934,33930.610465753416,108143027.47398868,0.006527708058637227,0.5191148266357821,2691049.1326301396,2424306.645753424,586425.1564931318,2067343.9515902412,888,17,17,17,477005.69785429025,461585.7969014463,0.8148984198645598,11.996971961072667,423,422,1081,0.3565303430079156,244,0,0,7380360.0,2521263.453166227,-0.7744841388959012
bulk_yen__init5000000__yen1000000,bulk_yen,5000000.0,1000000.0,,3032,9866775.594709706,9832844.984243952,33930.610465753416,109866775.59470971,0.007851498816479507,0.5356098690771307,3086164.840945214,2110183.530041095,738375.4617533864,2506798.592644987,726,11,11,11,893894.9985676319,863011.1817189016,0.8784530386740331,44.578817537654416,562,561,1222,0.4030343007915567,215,0,0,7903260.0,3174555.2622031663,-0.7423422396467461
bulk_yen__init5000000__yen2000000,bulk_yen,5000000.0,2000000.0,,3032,11600733.5335593,10121275.24246341,1479458.29109589,111600733.5335593,0.009164055117954817,0.5175089785659417,4480673.275123298,3062553.880013699,976246.2267944932,2580331.3867182555,525,6,6,6,1686879.207077235,1658103.0793819209,0.9799599198396793,9118.571647420378,741,740,1212,0.3997361477572559,244,0,0,9685535.0,4197251.611147758,-1.0432074012137627
bulk_yen__init5000000__yen5000000,bulk_yen,5000000.0,5000000.0,,3032,16749765.043909747,15811314.842759062,938450.201150685,116749765.04390974,0.012954364211881453,0.5668952092850877,5260832.219178081,3063530.5464520557,1282508.3335342833,4030957.658664119,370,4,4,4,3952828.7106897654,3926965.725364795,1.0,inf,781,780,986,0.32519788918205805,142,0,0,12683925.0,5513988.194261214,0.01431741475478665
bulk_yen__init5000000__yen10000000,bulk_yen,5000000.0,10000000.0,,3032,18056944.173642825,16682006.584437346,1374937.5892054792,118056944.17364281,0.01389218806217385,0.4231612574588212,8873101.941794515,1289724.3491060075,1892267.1128220162,4252932.970607325,187,2,2,2,8341003.292218673,8341003.292218673,1.0,inf,1486,1485,421,0.13885224274406333,96,0,0,18312465.0,8135571.713390501,0.7696997673218693
bulk_yen__init10000000__yen100000,bulk_yen,10000000.0,100000.0,,3032,4953689.537370877,4919758.9269051235,33930.610465753416,104953689.53737088,0.004026538552112324,0.4037341420272479,2005608.331767127,1908253.841547945,315078.4640547916,1254249.8914485485,1392,46,46,46,106951.2810196766,92001.12407366544,0.7676258992805756,4.857359656096454,245,244,1244,0.4102902374670185,220,0,1,10187775.0,1354641.4363456464,-1.4634119113071704
bulk_yen__init10000000__yen300000,bulk_yen,10000000.0,300000.0,,3032,6729742.762159641,6695812.151693887,33930.610465753416,106729742.76215963,0.005427830804877853,0.46068256664256063,2704005.8181780875,2418116.8564657527,495679.7735342308,1707039.265378193,1051,24,24,24,278992.1729872453,273186.58807291964,0.7931363203050524,8.08177169436779,435,434,1161,0.3829155672823219,244,0,1,10352250.0,2131114.7443931396,-0.9296112067761149
bulk_yen__init10000000__yen500000,bulk_yen,10000000.0,500000.0,,3032,9062428.603084378,9028497.992618624,33930.610465753416,109062428.60308437,0.007236170397724395,0.5651470062747149,2691049.1326301396,2424306.645753424,588405.3893698424,2301737.299617837,888,17,17,17,531088.1172128603,461585.7969014463,0.8148984198645598,13.243797422379519,423,422,1081,0.3565303430079156,244,0,1,11358450.0,2529777.222955145,-0.7284519592569683
bulk_yen__init10000000__yen1000000,bulk_yen,10000000.0,1000000.0,,3032,10848737.835160438,10814807.224694684,33930.610465753416,110848737.83516043,0.008597128656601338,0.5808579087109156,3086164.840945214,2110183.530041095,739429.6502465362,2757141.353701104,726,11,11,11,983164.2931540622,908049.5150946649,0.8784530386740331,48.93083909133899,562,561,1222,0.4030343007915567,215,0,1,11358450.0,3179087.617084433,-0.697094200012961
bulk_yen__init10000000__yen2000000,bulk_yen,10000000.0,2000000.0,,3032,11670638.884295622,10191180.593199732,1479458.29109589,111670638.88429561,0.009216578393862696,0.511266488480881,4480673.275123298,3062553.880013699,977561.2498629821,2598153.1499134414,501,6,6,6,1698530.098866622,1692606.2725960384,0.968421052631579,982.4386800187924,741,740,1148,0.3786279683377309,215,0,1,12113100.0,4202905.392480211,-0.7559666228815181
bulk_yen__init10000000__yen5000000,bulk_yen,10000000.0,5000000.0,,3032,17146515.61092504,16208065.409774356,938450.201150685,117146515.61092505,0.013240022681797914,0.537193050558612,6842010.7250548005,2424306.645753424,1392350.9446575574,4132105.7764895028,334,4,4,4,4052016.352443589,4074641.4790902203,1.0,inf,1374,1373,899,0.29650395778364114,244,0,1,15383250.0,5986243.106860158,-0.7388267593002478
bulk_yen__init10000000__yen10000000,bulk_yen,10000000.0,10000000.0,,3032,25000599.01456298,25000599.01456298,0,125000599.01456298,0.01871968708929428,0.505517532136288,9748673.030958906,3010763.890178082,2152475.412548025,6373686.000889088,190,3,3,3,8333533.004854326,8530521.688043054,1.0,inf,1462,1461,579,0.19096306068601582,90,0,1,21410775.0,9254305.568931399,0.7558426357925264
bulk_pct__init0__pct0.03,bulk_pct,0.0,,0.03,3032,3663585.225098875,3663585.225098875,0,103663585.22509888,0.0029949573373888594,0.4555207418303152,1171945.625794515,1171707.7134246575,146479.36263013718,942915.5241452134,1797,189,189,189,19384.048810046956,8424.693535841807,0.7835281023928771,4.163870388405176,83,83,1294,0.4267810026385224,55,0,0,5139460.0,629770.1583113456,0.3355900414570461
bulk_pct__init0__pct0.05,bulk_pct,0.0,,0.05,3032,5041676.002718264,5041676.002718264,0,105041676.00271827,0.00409646924673801,0.5589778529123248,1171945.625794515,1171707.7134246575,211239.35824657162,1294247.8219093834,1621,112,112,112,45014.964309984505,28458.530816188024,0.8266502159161012,6.18570973370688,126,126,1276,0.420844327176781,57,0,0,5139460.0,908197.8627968337,0.4691387405509519
bulk_pct__init0__pct0.08,bulk_pct,0.0,,0.08,3032,5941980.187564044,5941980.187564044,0,105941980.18756405,0.004808951263360228,0.44767553392621967,2534484.3207534254,2367686.3984931507,386472.0255890257,1514856.3407211348,1260,54,54,54,110036.6701400749,69613.28190072984,0.807936507936508,7.715547554530645,375,375,1284,0.4234828496042216,245,0,0,7178080.0,1661589.3486147758,-1.5420341086305152
