label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
combo__init500000__yen100000__pct0.12,combo,500000.0,100000.0,0.12,3032,8994842.740693923,8994842.740693923,0,108994842.74069393,0.007184277638275116,0.2898586149347908,4610379.083103135,4596075.667013698,610530.3127671253,2373615.985538969,1179,76,76,76,118353.19395649899,95624.17757273494,0.7514843087362172,4.059507483922419,221,220,1370,0.45184696569920846,118,0,110,12848050.0,2624900.6332453825,-0.46042424888827616
combo__init500000__yen100000__pct0.15,combo,500000.0,100000.0,0.15,3032,9053716.689505894,9053716.689505894,0,109053716.68950589,0.007229483003037496,0.2916384721770307,4610379.08310315,4596075.667013698,611851.0240547942,2388625.388439329,1172,74,74,74,122347.52283116072,100673.87632681479,0.7508532423208191,4.07753476898478,221,220,1364,0.449868073878628,118,0,110,12848050.0,2630578.8703825856,-0.4577360718109862
combo__init500000__yen100000__pct0.2,combo,500000.0,100000.0,0.2,3032,9081753.222692523,9081753.222692523,0,109081753.22269252,0.007251002515689775,0.29258752749190103,4610379.083103135,4596075.667013698,611967.4127671224,2395773.059540369,1174,73,73,73,124407.57839304826,100903.9922798884,0.752129471890971,4.090865980225364,221,220,1359,0.4482189973614776,118,0,110,12848050.0,2631079.269459103,-0.45403950913522717
combo__init500000__yen100000__pct0.25,combo,500000.0,100000.0,0.25,3032,9101484.901684556,9101484.901684556,0,109101484.90168455,0.007266144576007605,0.2932222830638574,4610379.08310315,4596075.667013698,611849.4372602731,2400803.4800551855,1176,73,73,73,124677.87536554187,100903.9922798884,0.7525510204081632,4.097534344913245,221,220,1361,0.4488786279683377,118,0,110,12848050.0,2630572.0481530344,-0.4540321605213833
combo__init500000__yen300000__pct0.03,combo,500000.0,300000.0,0.03,3032,10287333.899930125,10287333.899930125,0,110287333.89993012,0.008171584895319883,0.34516628029952057,4596075.667013705,4596075.667013698,572117.3244931535,2671700.261576743,1275,144,144,144,71439.81874951476,24856.483773118944,0.7929411764705883,5.792150129348059,102,102,1354,0.4465699208443272,85,0,117,12848050.0,2459748.6741424804,0.18805243691093798
combo__init500000__yen300000__pct0.05,combo,500000.0,300000.0,0.05,3032,12441371.00964431,12441371.00964431,0,112441371.00964431,0.009793676833409704,0.38216518679215156,6416700.215780824,6223001.412452055,748375.7035616346,3171819.6907940544,1134,80,80,80,155517.1376205539,107623.63728782984,0.843915343915344,7.438091675891408,331,331,1466,0.48350923482849606,247,0,135,13781900.0,3217550.082453826,-1.2510942899080277
combo__init500000__yen300000__pct0.08,combo,500000.0,300000.0,0.08,3032,12326265.541491527,12326265.541491527,0,112326265.54149152,0.009707720532787345,0.3705411725789051,6416700.215780824,6223001.412452055,829556.0460273848,3142474.5494810864,1034,56,56,56,220111.88466949156,228383.46225975227,0.8036750483558994,6.876159008009636,473,472,1470,0.48482849604221634,346,0,145,13781900.0,3566575.0659630606,-2.0294166382320324
combo__init500000__yen300000__pct0.1,combo,500000.0,300000.0,0.1,3032,12611198.122515934,12611198.122515934,0,112611198.12251593,0.009920349921684224,0.3767213051535558,6416700.215780824,6223001.412452055,845189.342410949,3215115.6410731156,1013,51,51,51,247278.39455913595,270878.80396245595,0.8025666337611056,7.024680902260259,473,472,1450,0.4782321899736148,346,0,145,13781900.0,3633788.517480211,-1.9301150380033547
combo__init500000__yen300000__pct0.12,combo,500000.0,300000.0,0.12,3032,12669648.687981654,12669648.687981654,0,112669648.68798165,0.00996390735545205,0.3778012745086065,6416700.215780824,6223001.412452055,857665.7469588954,3230017.10605945,1003,48,48,48,263951.0143329511,285044.3974506215,0.7996011964107677,7.0132609104847035,473,472,1447,0.47724274406332456,346,0,145,13781900.0,3687429.297493404,-1.8802036320483575
combo__init500000__yen300000__pct0.15,combo,500000.0,300000.0,0.15,3032,12728985.585477978,12728985.585477978,0,112728985.58547798,0.01000810409788655,0.3759679252962283,6416700.215780824,6223001.412452055,876166.9138082083,3245144.533713811,981,44,44,44,289295.1269426813,299020.8545579177,0.7757390417940877,7.123785678647763,532,531,1413,0.46602902374670185,346,0,145,13781900.0,3766972.808377309,-1.771675257262217
