combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
RSI<35 + BB<20 + RET20<-5,3,20,4,40,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RET5<-3,2,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RET20<-5,2,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40,2,20,4,51,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20,2,20,4,49,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + RET20<-5,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10 + RET20<-5,3,20,4,33,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + BB<10,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + BB<20,3,20,4,49,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35,1,20,4,51,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10,2,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RET20<-5 + RET5<-3,3,20,4,29,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RET20<-5 + GOLDEN,2,10,4,60,100.0000,117.2500,9.5793,0.0000,0.0000,10.3108,-6.2425,9.5793
RSI<40 + RET20<-5 + GOLDEN,3,10,4,46,100.0000,117.2500,9.5793,0.0000,0.0000,10.3108,-6.2425,9.5793
BB<20 + RET20<-5 + GOLDEN,3,10,4,40,100.0000,117.2500,9.5793,0.0000,0.0000,10.3108,-6.2425,9.5793
RSI<35 + RSI<40 + GOLDEN,3,15,3,29,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
RSI<35 + GOLDEN,2,15,3,29,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
RSI<35 + BB<10 + GOLDEN,3,15,3,20,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
RSI<35 + BB<20 + GOLDEN,3,15,3,27,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
RSI<35 + RET20<-5 + GOLDEN,3,15,3,26,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
DD<=-10 + STREAK>=10 + RET20<-5,3,15,2,31,50.0000,101.0000,16.6947,1.8706,1.8706,12.6566,-12.3961,9.2827
STREAK>=10 + RET20<-5,2,15,2,31,50.0000,101.0000,16.6947,1.8706,1.8706,12.6566,-12.3961,9.2827
STREAK>=5 + STREAK>=10 + RET20<-5,3,15,2,31,50.0000,101.0000,16.6947,1.8706,1.8706,12.6566,-12.3961,9.2827
52W<30 + STREAK>=10,2,15,2,41,50.0000,18.0000,16.0332,1.8706,1.8706,12.0250,-4.4557,8.9519
52W<30 + STREAK>=5 + STREAK>=10,3,15,2,41,50.0000,18.0000,16.0332,1.8706,1.8706,12.0250,-4.4557,8.9519
52W<30 + STREAK>=10 + RET20<-5,3,15,2,24,50.0000,18.0000,16.0332,1.8706,1.8706,12.0250,-4.4557,8.9519
52W<30 + DD<=-10 + STREAK>=10,3,15,2,41,50.0000,18.0000,16.0332,1.8706,1.8706,12.0250,-4.4557,8.9519
RSI<40 + RET20<-5 + RET5<-3,3,20,4,39,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<10 + RET20<-5,2,20,4,46,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
RET20<-5 + RET5<-3,2,20,4,41,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<20 + RET20<-5 + RET5<-3,3,20,4,39,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
RSI<40 + BB<20 + RET20<-5,3,20,4,63,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
RSI<40 + RET20<-5,2,20,4,72,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<10 + RET20<-5 + RET5<-3,3,20,4,36,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
RET20<-5,1,20,4,118,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<20 + RET20<-5,2,20,4,67,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
RSI<40 + BB<10 + RET20<-5,3,20,4,44,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<20 + BB<10 + RET20<-5,3,20,4,46,50.0000,120.0000,19.9415,-2.0798,-2.0798,16.1980,-8.4980,8.9309
BB<20 + DD<=-10 + RET20<-5,3,15,3,43,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
RSI<40 + DD<=-10 + RET20<-5,3,15,3,50,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
RSI<35 + DD<=-10 + RET20<-5,3,15,3,32,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
BB<10 + DD<=-10 + RET20<-5,3,15,3,31,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
DD<=-10 + RET20<-5,2,15,3,82,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
DD<=-10 + RET20<-5 + RET5<-3,3,15,3,29,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
DD<=-10 + RET20<-5 + vsMA25<-5,3,15,3,27,66.6667,158.0000,15.0027,-3.2176,-3.2176,13.2292,-8.9279,8.9293
RSI<40 + BB<10 + RET5<-3,3,20,4,57,50.0000,142.5000,20.7517,-2.9117,-2.9117,16.0481,-9.2405,8.9200
RSI<40 + RET5<-3,2,20,4,63,50.0000,142.5000,20.7517,-2.9117,-2.9117,16.0481,-9.2405,8.9200
RSI<40 + BB<20 + RET5<-3,3,20,4,62,50.0000,142.5000,20.7517,-2.9117,-2.9117,16.0481,-9.2405,8.9200
RET5<-3,1,20,5,106,40.0000,81.5000,19.5177,1.7661,-2.0622,15.6381,-11.5107,8.8667
BB<10 + RET5<-3 + GOLDEN,3,15,3,34,66.6667,163.0000,16.9579,-7.4680,-7.4680,14.6698,-11.0865,8.8159
BB<20 + RET5<-3 + GOLDEN,3,15,3,38,66.6667,163.0000,16.9579,-7.4680,-7.4680,14.6698,-11.0865,8.8159
DD<=-10 + STREAK>=5 + STREAK>=10,3,15,2,99,50.0000,217.0000,15.5828,1.8706,1.8706,12.0970,-12.7968,8.7267
STREAK>=5 + STREAK>=10,2,15,2,99,50.0000,217.0000,15.5828,1.8706,1.8706,12.0970,-12.7968,8.7267
STREAK>=10,1,15,2,99,50.0000,217.0000,15.5828,1.8706,1.8706,12.0970,-12.7968,8.7267
DD<=-10 + STREAK>=10,2,15,2,99,50.0000,217.0000,15.5828,1.8706,1.8706,12.0970,-12.7968,8.7267
BB<10 + RET20<-5 + vsMA25<-5,3,20,4,23,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
RET20<-5 + vsMA25<-5,2,20,4,31,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
RSI<35 + RET20<-5 + vsMA25<-5,3,20,4,21,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
BB<20 + RET20<-5 + vsMA25<-5,3,20,4,27,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
RET20<-5 + RET5<-3 + vsMA25<-5,3,20,4,25,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
RSI<40 + RET20<-5 + vsMA25<-5,3,20,4,28,50.0000,90.0000,20.0773,-2.6676,-2.6676,15.9736,-8.0227,8.7049
BB<20 + 52W<20 + RET5<-3,3,15,3,21,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<10 + 52W<20 + RET5<-3,3,15,3,20,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
52W<20 + RET5<-3,2,15,3,22,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
52W<30 + 52W<20,2,15,3,52,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
52W<20,1,15,3,52,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
52W<30 + 52W<20 + RET5<-3,3,15,3,22,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<20 + 52W<30 + 52W<20,3,15,3,37,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<10 + 52W<20,2,15,3,30,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<10 + 52W<30 + 52W<20,3,15,3,30,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<20 + BB<10 + 52W<20,3,15,3,30,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
BB<20 + 52W<20,2,15,3,37,66.6667,11.5000,16.7725,-7.4353,-7.4353,14.0308,-4.9738,8.7033
RSI<35 + vsMA25<-5,2,20,4,24,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<40 + BB<10 + vsMA25<-5,3,20,4,26,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<40 + BB<20 + vsMA25<-5,3,20,4,30,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<40 + vsMA25<-5,2,20,4,31,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<35 + RSI<40 + vsMA25<-5,3,20,4,24,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
BB<20 + BB<10 + vsMA25<-5,3,20,4,26,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
BB<20 + RET5<-3 + vsMA25<-5,3,20,4,28,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
BB<20 + vsMA25<-5,2,20,4,30,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<35 + BB<20 + vsMA25<-5,3,20,4,24,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<40 + RET5<-3 + vsMA25<-5,3,20,4,28,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<35 + BB<10 + vsMA25<-5,3,20,4,24,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RSI<35 + RET5<-3 + vsMA25<-5,3,20,4,23,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
vsMA25<-5,1,20,4,34,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
BB<10 + vsMA25<-5,2,20,4,26,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
BB<10 + RET5<-3 + vsMA25<-5,3,20,4,25,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RET5<-3 + vsMA25<-5,2,20,4,28,50.0000,90.0000,20.0773,-2.7410,-2.7410,15.6182,-8.3155,8.6682
RET20<-5 + GOLDEN,2,15,3,60,66.6667,110.5000,15.3221,-5.0472,-5.0472,14.7506,-7.6482,8.5323
BB<10 + RET20<-5 + GOLDEN,3,15,3,25,66.6667,110.5000,15.3221,-5.0472,-5.0472,14.7506,-7.6482,8.5323
BB<20 + RET20<-5 + GOLDEN,3,15,3,40,66.6667,110.5000,15.3221,-5.0472,-5.0472,14.7506,-7.6482,8.5323
RSI<40 + RET20<-5 + GOLDEN,3,15,3,46,66.6667,110.5000,15.3221,-5.0472,-5.0472,14.7506,-7.6482,8.5323
