date,target_open,target_close,benchmark_close,buy_amount,buy_shares,sell_value,realized_pnl_before_tax,realized_pnl_after_tax,tax,interest,gross_exposure,cash,equity,unrealized_pnl,margin_ratio,selected_params_id,events
2016-05-06,5315.0,5255.0,16106.7197265625,0.0,0,0.0,0.0,0.0,0.0,148.75249315068504,1939095.0,100683133.53843826,99631894.31416428,-1051239.2242739727,51.38061534590326,3,
2016-05-09,5345.0,5325.0,16216.0302734375,0.0,0,0.0,0.0,0.0,0.0,150.73397260274214,1964925.0,100683133.53843826,99657573.58019169,-1025559.9582465756,50.71825824405089,3,
2016-05-10,5365.0,5555.0,16565.189453125,0.0,0,0.0,0.0,0.0,0.0,157.24454794520716,2049795.0,100683133.53843826,99742286.33564374,-940847.2027945205,48.659639786243865,3,
2016-05-11,5665.0,5555.0,16579.009765625,0.0,0,0.0,0.0,0.0,0.0,157.24454794520716,2049795.0,100683133.53843826,99742129.09109579,-941004.4473424659,48.659563073915095,3,
2016-05-12,5475.0,5605.0,16646.33984375,0.0,0,0.0,0.0,0.0,0.0,158.65989041094872,2068245.0,100683133.53843826,99760420.43120538,-922713.1072328769,48.23433414861652,3,
2016-05-13,5650.0,5445.0,16412.2109375,0.0,0,0.0,0.0,0.0,0.0,154.13079452054808,2009205.0,100683133.53843826,99701226.30041087,-981907.2380273974,49.62222685112314,3,
2016-05-16,5455.0,5470.0,16466.400390625,0.0,0,0.0,0.0,0.0,0.0,154.83846575341158,2018430.0,100683133.53843826,99710296.46194512,-972837.0764931507,49.3999278954163,3,
2016-05-17,5590.0,5595.0,16652.80078125,0.0,0,0.0,0.0,0.0,0.0,158.37682191780186,2064555.0,100683133.53843826,99756263.0851232,-926870.4533150687,48.31853018453042,3,
2016-05-18,5570.0,5600.0,16644.689453125,0.0,0,0.0,0.0,0.0,0.0,158.5183561643862,2066400.0,100683133.53843826,99757949.56676702,-925183.971671233,48.27620478453689,3,
2016-05-19,5710.0,5595.0,16646.66015625,0.0,0,0.0,0.0,0.0,0.0,158.37682191780186,2064555.0,100683133.53843826,99755946.18994512,-927187.3484931507,48.31837669131853,3,
2016-05-20,5570.0,5655.0,16736.349609375,0.0,0,0.0,0.0,0.0,0.0,160.0752328767121,2086695.0,100683133.53843826,99777926.11471224,-905207.4237260275,47.8162482369068,3,
2016-05-23,5620.0,5605.0,16654.599609375,0.0,0,0.0,0.0,0.0,0.0,158.65989041094872,2068245.0,100683133.53843826,99759317.45482183,-923816.0836164384,48.23380085764589,3,
2016-05-24,5575.0,5490.0,16498.759765625,0.0,0,0.0,0.0,0.0,0.0,155.40460273971985,2025810.0,100683133.53843826,99716727.05021909,-966406.4882191782,49.223138917380744,3,
2016-05-25,5685.0,5675.0,16757.349609375,0.0,0,0.0,0.0,0.0,0.0,160.6413698630131,2094075.0,100683133.53843826,99784831.40884922,-898302.1295890411,47.65103036369243,3,
2016-05-26,5800.0,5680.0,16772.4609375,0.0,0,0.0,0.0,0.0,0.0,160.78290410959016,2095920.0,100683133.53843826,99786515.6259451,-896617.9124931509,47.6098876035083,3,
2016-05-27,5725.0,5725.0,16834.83984375,0.0,0,0.0,0.0,0.0,0.0,162.05671232876193,2112525.0,100683133.53843826,99802958.56923278,-880174.9692054797,47.24344496241833,3,
2016-05-30,5820.0,5885.0,17068.01953125,0.0,0,0.0,0.0,0.0,0.0,166.58580821916985,2171565.0,100683133.53843826,99861831.98342456,-821301.5550136986,45.986112312283794,3,
2016-05-31,5840.0,5995.0,17234.98046875,0.0,0,0.0,0.0,0.0,0.0,169.6995616438362,2212155.0,100683133.53843826,99902252.28386292,-780881.2545753428,45.16060234651863,3,
2016-06-01,5900.0,5795.0,16955.73046875,0.0,0,0.0,0.0,0.0,0.0,164.03819178081903,2138355.0,100683133.53843826,99828288.24567114,-854845.2927671232,46.68461889895323,3,
2016-06-02,5715.0,5525.0,16562.55078125,0.0,0,0.0,0.0,0.0,0.0,156.39534246574476,2038725.0,100683133.53843826,99728501.85032867,-954631.6881095892,48.91709369842851,3,
2016-06-03,5565.0,5575.0,16642.23046875,0.0,0,0.0,0.0,0.0,0.0,157.81068493151542,2057175.0,100683133.53843826,99746794.03964373,-936339.4987945205,48.487267266831324,3,
2016-06-06,5380.0,5540.0,16580.029296875,0.0,0,0.0,0.0,0.0,0.0,156.81994520547596,2044260.0,100683133.53843826,99733722.21969853,-949411.3187397261,48.787200365755105,3,
2016-06-07,5580.0,5595.0,16675.44921875,0.0,0,0.0,0.0,0.0,0.0,158.37682191780186,2064555.0,100683133.53843826,99753858.84287661,-929274.6955616439,48.3173656516182,3,
2016-06-08,5620.0,5695.0,16830.919921875,0.0,0,0.0,0.0,0.0,0.0,161.20750684932864,2101455.0,100683133.53843826,99790597.63536976,-892535.9030684932,47.4864308944849,3,
2016-06-09,5645.0,5595.0,16668.41015625,0.0,0,0.0,0.0,0.0,0.0,158.37682191780186,2064555.0,100683133.53843826,99753539.25854784,-929594.2798904111,48.31721085587346,3,
2016-06-10,5595.0,5540.0,16601.359375,0.0,0,0.0,0.0,0.0,0.0,156.81994520547596,2044260.0,100683133.53843826,99733087.43860264,-950046.0998356165,48.786889846987485,3,
2016-06-13,5355.0,5170.0,16019.1796875,0.0,0,0.0,0.0,0.0,0.0,146.34641095890402,1907730.0,100683133.53843826,99596411.09219168,-1086722.4462465756,52.206764632412174,3,
2016-06-14,5145.0,5065.0,15859.0,72044.40599999999,14,0.0,0.0,0.0,0.0,148.81386301368912,1939895.0,100683133.53843826,99556382.87232867,-1126750.6661095892,51.3205007860367,3,
2016-06-15,5025.0,5110.0,15919.580078125,135702.135,27,0.0,0.0,0.0,0.0,160.72000000000116,2095100.0,100683133.53843826,99575725.01732866,-1107408.5211095894,47.52791037054492,3,
2016-06-16,5060.0,4780.0,15434.1396484375,126525.29999999999,25,0.0,0.0,0.0,0.0,159.50794520549243,2079300.0,100683133.53843826,99433240.20938347,-1249893.3290547943,47.82053585792501,3,
2016-06-17,4960.0,4895.0,15599.66015625,138907.776,28,0.0,0.0,0.0,0.0,173.85967123286537,2266385.0,100683133.53843826,99481243.57371223,-1201889.964726028,43.89423843420788,3,
2016-06-20,5045.0,5115.0,15965.2998046875,111012.198,22,0.0,0.0,0.0,0.0,190.30602739728056,2480775.0,100683133.53843826,99584431.06968483,-1098702.4687534247,40.142468006846585,3,
2016-06-21,5040.0,5235.0,16169.1103515625,0.0,0,0.0,0.0,0.0,0.0,194.77068493148545,2538975.0,100683133.53843826,99642436.2989999,-1040697.2394383561,39.24514274421761,3,
2016-06-22,5200.0,5175.0,16065.7197265625,0.0,0,145570.88,6630.358575342458,5283.401230761638,1346.9573445808203,181.42273972604744,2364975.0,100688416.93966903,99612478.79891561,-1075938.1407534247,42.1198865945372,3,
2016-06-23,5205.0,5285.0,16238.349609375,0.0,0,0.0,0.0,0.0,0.0,185.27906849317515,2415245.0,100688416.93966903,99662563.51984711,-1025853.4198219178,41.26395604580368,3,
2016-06-24,5355.0,4430.0,14952.01953125,0.0,0,144556.083,8780.222465753428,6996.5202718356195,1783.702193917809,146.12931506849418,1904900.0,100695413.45994087,99294844.77133812,-1400568.6886027395,52.12601436891077,3,
2016-06-27,4565.0,4660.0,15309.2099609375,0.0,0,0.0,0.0,0.0,0.0,153.71616438355704,2003800.0,100695413.45994087,99393591.05517374,-1301822.404767123,49.60255068129241,3,
2016-06-28,4515.0,4685.0,15323.1396484375,0.0,0,0.0,0.0,0.0,0.0,154.54082191781345,2014550.0,100695413.45994087,99404186.51435183,-1291226.9455890409,49.343122044303605,3,
2016-06-29,4800.0,4830.0,15566.830078125,0.0,0,0.0,0.0,0.0,0.0,159.32383561643655,2076900.0,100695413.45994087,99466377.1905162,-1229036.2694246578,47.89175077784978,3,
2016-06-30,4950.0,4850.0,15575.919921875,0.0,0,0.0,0.0,0.0,0.0,159.98356164382858,2085500.0,100695413.45994087,99474817.20695457,-1220596.2529863014,47.69830602107627,3,
2016-07-01,4915.0,4895.0,15682.48046875,0.0,0,0.0,0.0,0.0,0.0,161.46794520546246,2104850.0,100695413.45994087,99494005.73900937,-1201407.720931507,47.26892925339543,3,
2016-07-04,4820.0,4955.0,15775.7998046875,0.0,0,0.0,0.0,0.0,0.0,163.44712328766764,2130650.0,100695413.45994087,99519642.29188608,-1175771.1680547947,46.70858296383079,3,
2016-07-05,4895.0,4890.0,15669.330078125,0.0,0,0.0,0.0,0.0,0.0,161.30301369864173,2102700.0,100695413.45994087,99491530.98887238,-1203882.471068493,47.31608455265724,3,
2016-07-06,4740.0,4710.0,15378.990234375,0.0,0,0.0,0.0,0.0,0.0,155.36547945204074,2025300.0,100695413.45994087,99413975.62339292,-1281437.8365479456,49.086049288200726,3,
2016-07-07,4705.0,4650.0,15276.240234375,0.0,0,0.0,0.0,0.0,0.0,153.3863013698574,1999500.0,100695413.45994087,99388022.23709156,-1307391.222849315,49.70643772797777,3,
