final_equity,max_drawdown_pct,min_equity,forced_liquidations,ruined
8242090.841434189,0.14894589265317815,4836845.798454859,0,0.0
7007574.309952831,0.22604664620356693,4345343.552651893,0,0.0
7479499.457490136,0.3120098794801453,4340847.0461968575,0,0.0
6757639.438142957,0.33416952439557335,4206800.091981663,0,0.0
8151552.95969354,0.2598236922461374,4205098.370952775,0,0.0
8380424.5169154545,0.36524405390748305,4016791.3889202722,0,0.0
7983192.57220136,0.18754506326433193,4893584.1973549845,0,0.0
7511463.446372043,0.290524304636766,3656269.3412696663,0,0.0
7801245.955040529,0.3070600024375368,4330383.700556824,0,0.0
7188992.139582736,0.45226918067667,3350081.9907239084,0,0.0
8245595.691629165,0.39187512220585485,3280256.285729507,0,0.0
7667984.97490052,0.18850647690998312,4686924.199507647,0,0.0
8675150.655335817,0.16438704990826317,4652175.87763021,0,0.0
3587369.665368854,0.6464948505331419,2673481.506931806,0,0.0
7761752.597398017,0.15720375415780025,4806457.835911215,0,0.0
7709177.705240894,0.16900505056373416,4903157.5396126285,0,0.0
8293681.555385786,0.2958507861118418,4373212.852909161,0,0.0
7924666.245607291,0.1201748627956464,4803491.743397809,0,0.0
8158770.617754143,0.15466261520058175,4929828.5648341,0,0.0
7087493.411388371,0.22963158048439958,4958974.495526435,0,0.0
7203462.734485944,0.09786841862692745,4808438.159030909,0,0.0
7372358.699307924,0.217166782464549,4517828.765902147,0,0.0
7532043.630578126,0.10832561929572172,4788280.289477412,0,0.0
1902661.9014369969,0.9109875801307168,466767.08389165055,12,0.0
4780521.345513731,0.5504019985825254,3017100.985527076,0,0.0
7155720.74800111,0.08852704015986299,4997362.434156139,0,0.0
6664813.854210156,0.08402699051492665,4993593.042730996,0,0.0
8395260.155949997,0.37138573108314876,4248610.902971139,0,0.0
7291006.128518363,0.40128158863794705,4299130.733292803,0,0.0
7394155.736852779,0.1197343194030062,4943274.251612129,0,0.0
7939267.66438514,0.25143663446433323,3828079.4057269217,0,0.0
6543193.935117237,0.0687475818386371,4927303.739332027,0,0.0
7790892.5394005235,0.2690991914433654,4356350.521231867,0,0.0
7779449.080439407,0.33609528921610005,3768034.482909132,0,0.0
7457964.987020455,0.0387179533005374,4888392.107056274,0,0.0
8014856.936293688,0.27958074488234413,4723609.133936644,0,0.0
7630415.247777255,0.06548055490626493,4822749.661878247,0,0.0
7936690.036913958,0.21656650101688812,4707509.4399540415,0,0.0
7727697.041669264,0.11734934881906363,4840344.030411305,0,0.0
8412995.345338212,0.28096460813748403,4385680.957821945,0,0.0
7964193.042617785,0.4316899858361739,4120262.3169380063,0,0.0
8274699.735560405,0.16367065218738933,4644183.679032481,0,0.0
7775847.994386867,0.298925826912518,4199834.092004528,0,0.0
8770956.406694412,0.1953133750149177,4908249.060237434,0,0.0
8190708.170604614,0.22195226040655278,4379905.366688114,0,0.0
8395316.980902826,0.1139339923017916,4554129.046349455,0,0.0
8082965.191081958,0.1520704646538337,4459021.565255839,0,0.0
6815824.768559616,0.06437081317593095,4999778.969392769,0,0.0
6806751.40974745,0.212150360447617,3987566.3195641814,0,0.0
8199680.069041549,0.6454923258698275,2126239.711706591,0,0.0
7775332.623349157,0.15226589246200084,4533346.126517994,0,0.0
8257874.175037947,0.09802498164232683,4918227.395219552,0,0.0
8032465.503895327,0.04209135003888996,4982237.918402096,0,0.0
7152372.669743856,0.10010451226647604,4729745.328073677,0,0.0
6832014.324486626,0.2716570489926784,4897110.218963355,0,0.0
6573987.8101642765,0.08521876607765298,4845716.172396054,0,0.0
8464161.531376598,0.10411967788872584,4627982.568884008,0,0.0
